USDA accession,host plant name,common name,source,geographic source,taxonomy,note
USDA133,Glycine max,soybean,"Nitragin, Co.","Louisiana, 1948",Bradyrhizobium japonicum,Accession unavailable
USDA1329,Medicago sativa,alfalfa (Cody),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA1328,Medicago sativa,alfalfa (Cody),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA1327,Medicago sativa,alfalfa (Cody),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA1326,Medicago sativa,alfalfa (Arc),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA1325,Medicago sativa,alfalfa (Arc),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA1324,Medicago sativa,alfalfa (Saranac),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA1323,Medicago sativa,alfalfa (Saranac),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA1322,Medicago sativa,alfalfa (Saranac),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA1321,Medicago sativa,alfalfa (Saranac),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA1320,Medicago sativa,alfalfa (Saranac),"Edgar L. Sorenson, Manhattan, KS, 12/4/81","Ashland Research Farm, 11/25/81",,Sarpy fine sandy loam
USDA132,Glycine max,soybean,"Nitragin, Co.","Lousian, 1948",Bradyrhizobium japonicum,
USDA1319,Medicago sativa,alfalfa (Valor),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1318,Medicago sativa,alfalfa (Valor),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1317,Medicago sativa,alfalfa (Trident),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1316,Medicago sativa,alfalfa (Trident),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1315,Medicago sativa,alfalfa (Trident),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1314,Medicago sativa,alfalfa (Saranac),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1313,Medicago sativa,alfalfa (Saranac),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1312,Medicago sativa,alfalfa (Saranac),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1311,Medicago sativa,alfalfa (Saranac),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1310,Medicago sativa,alfalfa (Perry),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA131,Glycine max,soybean,unknown,"unknown, 1961",Bradyrhizobium japonicum,
USDA1309,Medicago sativa,alfalfa (Perry),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1308,Medicago sativa,alfalfa (Perry),"W.R. Kehr, Lincoln, Nebraska, 10/8/81","Mead Experiment Station, 10/6/81",,Sharpsburg silty clay
USDA1307,Medicago sativa,alfalfa (Travois),"F.R. Vigil, Brookings, SD, 10/8/81","South Dakota State Univ. Nutrition Unit North, 10/15/81",,Vienna silt loam
USDA1306,Medicago sativa,alfalfa (Travois),"F.R. Vigil, Brookings, SD, 10/8/81","South Dakota State Univ. Nutrition Unit North, 10/15/81",,Vienna silt loam
USDA1305,Medicago sativa,alfalfa (Travois),"F.R. Vigil, Brookings, SD, 10/8/81","South Dakota State Univ. Nutrition Unit North, 10/15/81",,Vienna silt loam
USDA1304,Medicago sativa,alfalfa (Vernal),"F.R. Vigil, Brookings, SD, 10/8/81","South Dakota State Univ. Nutrition Unit North, 10/15/81",,Vienna silt loam
USDA1303,Medicago sativa,alfalfa (Vernal),"F.R. Vigil, Brookings, SD, 10/8/81","South Dakota State Univ. Nutrition Unit North, 10/15/81",,Vienna silt loam
USDA1302,Medicago sativa,alfalfa (Vernal),"F.R. Vigil, Brookings, SD, 10/8/81","South Dakota State Univ. Nutrition Unit North, 10/15/81",,Vienna silt loam
USDA1301,Medicago sativa,alfalfa (Saranac),"F.R. Vigil, Brookings, SD, 10/8/81","Sexauer Seed Company plots, 10/15/81",,Lamoure silty clay loam
USDA1300,Medicago sativa,alfalfa (Saranac),"F.R. Vigil, Brookings, SD, 10/8/81","Sexauer Seed Company plots, 10/15/81",,Lamoure silty clay loam
USDA130,Glycine max,soybean,USDA original,"Maryland, 1961",Bradyrhizobium elkanii,serotype strain of the serogroup
USDA13,Glycine max,soybean,USDA original,"Maryland, 1937",Bradyrhizobium elkanii,serotype strain of the serogroup
USDA1299,Medicago sativa,alfalfa (Saranac),"F.R. Vigil, Brookings, SD, 10/8/81","Sexauer Seed Company plots, 10/15/81",,Lamoure silty clay loam
USDA1298,Medicago sativa,alfalfa (520),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA1297,Medicago sativa,alfalfa (Vernal),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA1296,Medicago sativa,alfalfa (Vernal),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA1295,Medicago sativa,alfalfa (Vernal),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA1294,Medicago sativa,alfalfa (Thor),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA1293,Medicago sativa,alfalfa (Thor),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA1292,Medicago sativa,alfalfa (Saranac-AR),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA1291,Medicago sativa,alfalfa (Saranac-AR),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA1290,Medicago sativa,alfalfa (Saranac-AR),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA129,Glycine max,soybean,USDA original,"Iowa, 1961",Bradyrhizobium japonicum,
USDA1289,Medicago sativa,alfalfa (Saranac-AR),"Dr. Dwain W. Meyer, North Dakota State, Univ., 10/19/81","Fargo, ND, 10/15/81",,Fargo clay
USDA1288,Medicago sativa,alfalfa (Mesilla),"Bill MeltoCruces, NM,","Plant Science Farm, Las Cruces, NM, 5/17/82",,Clay
USDA1287,Medicago sativa,alfalfa (Mesilla),"Bill MeltoCruces, NM,","Plant Science Farm, Las Cruces, NM, 5/17/82",,Clay
USDA1286,Medicago sativa,alfalfa (Mesilla),"Bill MeltoCruces, NM,","Plant Science Farm, Las Cruces, NM, 5/17/82",,Clay
USDA1285,Medicago sativa,alfalfa (Mesilla),"Bill MeltoCruces, NM,","Plant Science Farm, Las Cruces, NM, 5/17/82",,Clay
USDA1284,Medicago sativa,alfalfa (Rincon),"Bill MeltoCruces, NM,","Plant Science Farm, Las Cruces, NM, 5/17/82",,Sand
USDA1283,Medicago sativa,alfalfa (Rincon),"Bill MeltoCruces, NM,","Plant Science Farm, Las Cruces, NM, 5/17/82",,Sand
USDA1282,Medicago sativa,alfalfa (Rincon),"Bill MeltoCruces, NM,","Plant Science Farm, Las Cruces, NM, 5/17/82",,Sand
USDA1281,Medicago sativa,alfalfa (Zia),"Bill MeltoCruces, NM,","Plant Science Farm, Las Cruces, NM, 5/17/82",,Clay
