USDA accession,host plant name,common name,source,geographic source,taxonomy,note
USDA99b,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA99,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA98a,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA98,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA97,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA96,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA94,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,serotype strain of the seroggroup
USDA93,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA92,Glycine max,soybean,"L. S. Tunica, 1956",Mississippi,Bradyrhizobium japonicum,
USDA91,Glycine max,soybean,"L. S. Tunica, 1956",Mississippi,Bradyrhizobium japonicum,
USDA9046,Phaseolus vulgaris,Common bean,,,,
USDA9045,Phaseolus vulgaris,Common bean,,,,
USDA9044,Phaseolus vulgaris,Common bean,,,,
USDA9043,Phaseolus vulgaris,Common bean,,,,
USDA9042,Phaseolus vulgaris,Common bean,,,,
USDA9041,Phaseolus vulgaris,Common bean,,,,Reported effective on common bean
USDA9040,Phaseolus vulgaris,Common bean,,,,
USDA9039,Phaseolus vulgaris,Common bean,,,,
USDA9038,Phaseolus vulgaris,Common bean,,,,
USDA9037,Phaseolus vulgaris,Common bean,,,,
USDA9036,Phaseolus vulgaris,Common bean,,,,
USDA9035,Phaseolus vulgaris,Common bean,,,,
USDA9034,Phaseolus vulgaris,Common bean,,,,
USDA9033,Phaseolus vulgaris,Common bean,,,,
USDA9032,Phaseolus vulgaris,Common bean,,,Rhizobium etli,Type strain for Rhizobium etli
USDA9031,Phaseolus vulgaris,Common bean,,,,pSym cured mutant of CIAT 899
USDA9030,Phaseolus vulgaris,Common bean,,,,Type strain for Rhizobium tropici
USDA9029,Phaseolus vulgaris,Common bean,,,,
USDA9028,Phaseolus vulgaris,Common bean,,,,
USDA9027,Phaseolus vulgaris,Common bean,,,,
USDA9026,Phaseolus vulgaris,Common bean,,,,
USDA9025,Phaseolus vulgaris,Common bean,,,,
USDA9024,Phaseolus vulgaris,Common bean,,,,
USDA9023,Phaseolus vulgaris,Common bean,,,,
USDA9022,Phaseolus vulgaris,Common bean,,,,
USDA9021,Phaseolus vulgaris,Common bean,,,,
USDA9020,Phaseolus vulgaris,Common bean,,,,
USDA9019,Phaseolus vulgaris,Common bean,,,,
USDA9018,Phaseolus vulgaris,Common bean,,,,
USDA9017,Phaseolus vulgaris,Common bean,,,,
USDA9016,Phaseolus vulgaris,Common bean,,,,
USDA9015,Phaseolus vulgaris,Common bean,,,,
USDA9014,Phaseolus vulgaris,Common bean,,,,
USDA9013,Phaseolus vulgaris,Common bean,,,,
USDA9012,Phaseolus vulgaris,Common bean,,,,
USDA9011,Phaseolus vulgaris,Common bean,,,,
USDA9010,Phaseolus vulgaris,Common bean,,,,
USDA9009,Phaseolus vulgaris,Common bean,,,,
USDA9008,Phaseolus vulgaris,Common bean,,,,
USDA9007,Phaseolus vulgaris,Common bean,,,,
USDA9006,Phaseolus vulgaris,Common bean,,,,
USDA9005,Phaseolus vulgaris,Common bean,,,,
USDA9004,Phaseolus vulgaris,Common bean,,,,
USDA9003,Phaseolus vulgaris,Common bean,,,,
USDA9002,Phaseolus vulgaris,Common bean,,,,
USDA9001,Phaseolus vulgaris,Common bean,,,,
USDA90,Glycine max,soybean,"L. S. Tunica, 1956",Mississippi,Bradyrhizobium elkanii,
USDA9,Glycine max,soybean,USDA original,"Virginia, 1916",Bradyrhizobium japonicum,
USDA86,Glycine max,soybean,USDA original,"Maryland, 1956",Bradyrhizobium,
USDA85,Glycine max,soybean,USDA original,"Maryland, 1956",Bradyrhizobium elkanii,
USDA84a,Glycine max,soybean,USDA original,"Maryland, 1956",Bradyrhizobium elkanii,
USDA84,Glycine max,soybean,USDA original,"Maryland, 1956",Bradyrhizobium elkanii,
USDA83,Glycine max,soybean,USDA original,"Maryland, 1956",Bradyrhizobium elkanii,
USDA8,Glycine max,soybean,USDA original,"Virginia, 1915",Bradyrhizobium elkanii,"parent culture of type strain and serotype strain, nodulated and fixed nitrogen on Siratro"
USDA78,Glycine max,soybean,"USDA original, plant passage of USDA 74","Maryland, 1956",Bradyrhizobium elkanii,
USDA77,Glycine max,soybean,"USDA original, plant passage of USDA 74","Maryland, 1956",Bradyrhizobium elkanii,
USDA76,Glycine max,soybean,"USDA original, plant passage of USDA 74",Maryland,Bradyrhizobium elkanii,Type strain of Bradyrhizobium elkanii; serotype strain of the serogroup
USDA75,Glycine max,soybean,"Z. L. Sario, 1955",Yugoslavia,Bradyrhizobium japonicum,
USDA74,Glycine max,soybean,USDA original,"California, 1956",Bradyrhizobium elkanii,
USDA73,Glycine max,soybean,"R. Holmes, 1953",Virginia,Bradyrhizobium japonicum,
USDA72,Glycine max,soybean,"E. E. Hartwig, 1952",Mississippi,Bradyrhizobium japonicum,
USDA71a,Glycine max,soybean,USDA original,"Arizona, 1948",Bradyrhizobium elkanii,
USDA7123,Trifolium spp.,,,,,
USDA7122,Trifolium vesiculosum,,,,,
USDA7121,Trifolium tembens,,,,,
USDA7120,Trifolium repens,,,,,
USDA7119,Trifolium subterraneum,,,,,
USDA7118,Trifolium subterraneum,,,,,
USDA7117,Trifolium subterraneum,,,,,
USDA7116,Trifolium subterraneum,,,,,
USDA7115,Trifolium subterraneum,,,,,
USDA7114,Trifolium repens,,,,,
USDA7113,Trifolium subterraneum,,,,,
USDA7111,Trifolium subterraneum,,,,,
USDA7110,Trifolium subterraneum,,,,,
USDA7109,Trifolium subterraneum,,,,,
USDA7108,Trifolium subterranean,,,,,
USDA7106,Trifolium spp.,,,,,
USDA7104,Trifolium semipilosum,,,,,
USDA7102,Trifolium semipilosum,,,,,
USDA7101,Trifolium repens,,,,,
USDA7100,Trifolium fragiferum,,,,,
USDA71,Glycine max,soybean,USDA original,"Arizona, 1948",Bradyrhizobium elkanii,
USDA7099,Trifolium fragiferum,,,,,
USDA7098,Trifolium fragiferum,,,,,
USDA7096,Trifolium fragiferum,,,,,
USDA7095,Trifolium spp.,,,,,
USDA7094,Trifolium tridentatum,,,,,
USDA7093,Trifolium eliolatum,,,,,
USDA7092,Trifolium eliolatum,,,,,
USDA7091,Trifolium eliolatum,,,,,
USDA7090,Trifolium eliolatum,,,,,
USDA7089,Trifolium spp.,,,,,
USDA7088,Trifolium parryi,,,,,
USDA7087,Trifolium parryi,,,,,
USDA7086,Trifolium parryi,,,,,
USDA7084,Trifolium nannes,,,,,
USDA7083,Trifolium nannes,,,,,
USDA7081,Trifolium dasyphylla,,,,,
USDA7080,Trifolium dasyphylla,,,,,
USDA7079,Trifolium fragiferum,,,,,
USDA7078,Trifolium fragiferum,,,,,
USDA7077,Trifolium fragiferum,,,,,
USDA7076,Trifolium subterraneum,,,,,
USDA7074,Trifolium subterraneum,,,,,
USDA7073,Trifolium alexandrium,,,,,
USDA7072,Trifolium alexandrium,,,,,
USDA7071,Trifolium alexandrium,,,,,
USDA7070,Trifolium alexandrium,,,,,
USDA7069,Trifolium alexandrium,,,,,
USDA7068,Trifolium alexandrium,,,,,
USDA7067,Trifolium alexandrium,,,,,
USDA7066,Trifolium alexandrium,,,,,
USDA7065,Trifolium alexandrium,,,,,
USDA7064,Trifolium alexandrium,,,,,
USDA7061,Trifolium ambiguum,,,,,
USDA7059,Trifolium ambiguum,,,,,
USDA7058,Trifolium ambigum,,,,,
USDA7057,Trifolium ambigum,,,,,
USDA7056,Trifolium ambigum,,,,,
USDA7055,Trifolium ambigum,,,,,
USDA7053,Trifolium ambigum,,,,,
USDA7052,Trifolium ambigum,,,,,
USDA7051,Trifolium ambigum,,,,,
USDA7050,Trifolium ambigum,,,,,
USDA7049,Trifolium ambigum,,,,,
USDA7048,Trifolium ambigum,,,,,
USDA7047,Trifolium ambigum,,,,,
USDA7046,Trifolium ambigum,,,,,
USDA7045,Trifolium ambigum,,,,,
USDA7044,Trifolium ambigum,,,,,
USDA7043,Trifolium ambigum,,,,,
USDA7042,Trifolium ambigum,,,,,
USDA7041,Trifolium pauciflorum,,,,,
USDA7040,Trifolium amabile,,,,,
USDA7039,Trifolium amabile,,,,,
USDA7038,Trifolium amabile,,,,,
USDA7036,Trifolium amabile,,,,,
USDA7034,Trifolium amabile,,,,,
USDA7032,Trifolium amabile,,,,,
USDA7031,Trifolium amabile,,,,,
USDA7030,Trifolium amabile,,,,,
USDA7029,Trifolium amabile,,,,,
USDA7028,Trifolium amabile,,,,,
USDA7027,Trifolium amabile,,,,,
USDA7026,Trifolium amabile,,,,,
USDA7025,Trifolium amabile,,,,,
USDA7024,Trifolium amabile,,,,,
USDA7023,Trifolium amabile,,,,,
USDA7022,Trifolium amabile,,,,,
USDA7021,Trifolium amabile,,,,,
USDA7020,Trifolium amabile,,,,,
USDA7019,Trifolium amabile,,,,,
USDA7018,Trifolium amabile,,,,,
USDA7017,Trifolium medium,,,,,
USDA7016,Trifolium medium,,,,,
USDA7015,Trifolium ambigum,,,,,
USDA7014,Trifolium ambigum,,,,,
USDA7013,Trifolium ambigum,,,,,
USDA7012,Trifolium ambigum,,,,,
USDA7011,Trifolium ambigum,,,,,
USDA7010,Trifolium ambigum,,,,,
USDA7009,Trifolium ambigum,,,,,
USDA7008,Trifolium ambigum,,,,,
USDA7007,Trifolium ambigum,,,,,
USDA7005,Trifolium spp.,,,,,
USDA7004,Trifolium spp.,,,,,
USDA7003,Trifolium spp.,,,,,
USDA7002,Trifolium isodon,,,,,
USDA7001,Trifolium isodon,,,,,
USDA70,Glycine max,soybean,"W. L. N elson, 1948",North Carolina,Bradyrhizobium japonicum,
USDA7,Glycine max,soybean,USDA original,"Virginia, 1915",Bradyrhizobium japonicum,
USDA6702,Medicago sativa,,"From Dr. Heinz Hoben, Bionext, Inc., 2019",,,
USDA6701,Medicago truncatula,,"From Dr. Bert Eardly, acid tolerant strain from calcareous soil",Syria,,
USDA6700,Leucaena leucocephala,,From: Dr Esperanza Martinez R.,"Morelos, Mexico,",,
USDA67,Glycine max,soybean,USDA original,"North Carolina, 1948",Bradyrhizobium elkanii,
USDA66a,Glycine max,soybean,,North Carolina,,
USDA6699,Medicago sativa,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6698,Medicago sativa,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6697,Melilotus alba,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6696,Melilotus alba,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6695,Melilotus alba,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6694,Melilotus alba,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6693,Trigonella foenum-graecum,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6692,Trigonella monspelliaca,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6691,Trigonella monspelliaca,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6690,Trigonella monspelliaca,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6689,Trigonella monspelliaca,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6688,Trigonella monspelliaca,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6687,Trigonella monspelliaca,,"From: Dr Encarna Velazques, Universidad De Salamanca","Riego de la Vega, Spain, 2008",,
USDA6686,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6685,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6684,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6683,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6682,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6681,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6680,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6679,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6678,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6677,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6676,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6675,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6674,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6673,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6672,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6671,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6670,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6669,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6668,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6667,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6666,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6665,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6664,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6663,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6662,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6661,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6660,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA6659,Medicago sativa,,"From: Dr. John Brokwell, CSIRO Plant Industry, Australia",,,
USDA66,Glycine max,soybean,USDA original,"North Carolina, 1948",Bradyrhizobium elkanii,
USDA65,Glycine max,soybean,USDA original,"North Carolina, 1946",Bradyrhizobium,Not in stock
USDA64,G lycine max,soybean,USDA original,"North Carolina, 1946",Bradyrhizobium japonicum,
USDA63,Glycine max,soybean,USDA original,"North Carolina, 1946",Bradyrhizobium,
USDA62,Glycine max,soybean,USDA original,"North Carolina, 1946",Bradyrhizobium japonicum,
USDA61,Glycine max,soybean,USDA original,"North Carolina, 1946",Bradyrhizobium elkanii,
USDA6,Glycine max,soybean,"K. Aso, 1929",Japan,Bradyrhizobium japonicum,"Type strain of Bradyrhizobium japonicum; type strain of the serogroup, effective, recommended for soybean inoculation in North America"
USDA59,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium japonicum,
USDA58,Glycine max,soybean,USDA original,"North Carolina, 1946",Bradyrhizobium,
USDA57,Glycine max,soybean,USDA original,"North Carolina, 1946",Bradyrhizobium japonicum,
USDA56,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium japonicum,
USDA55,Glycine max,soybean,USDA original,"Maryland, 1934",Bradyrhizobium japonicum,
USDA54,Glycine max,soybean,USDA original,"Maryland, 1936",Bradyrhizobium japonicum,
USDA53,Glycine max,soybean,USDA original,"Maryland, 1936",Bradyrhizobium japonicum,
USDA52,Glycine max,soybean,USDA original,"Maryland, 1932",Bradyrhizobium japonicum,
USDA51,Glycine max,soybean,USDA original,"Virginia, 1932",Bradyrhizobium japonicum,
USDA505,Arachis hypogaea,peanut,"Bio-Next, 5/3/2021",,Bradyrhizobium elkanii,Deposited by Dr. Heinz Hoben
USDA504,Glycine max,soybean,24-Mar-99,"Brazil, 3/24/1999",,"Received originally from FEP-AGRO, Porto Alegre, RS, Brazil. Then again in 14Jan2016 from Moses Thuita, IITA"
USDA503,Glycine max,soybean,23-Mar-99,"Brazil, 3/23/1999",Bradyrhizobium japonicum,"Received originally from FEP-AGRO, Porto Alegre, RS, Brazil. Then again in 14Jan2016 from Moses Thuita, IITA"
USDA502,Glycine max,soybean,Niftal,Korea,,Greenhouse test on Williams soybean: Plant growth was very good to excellent.
USDA501,Glycine max,soybean,Niftal,Korea,,Greenhouse test on Williams soybean: Plant growth was very good to excellent.
USDA500,Glycine max,soybean,Niftal,Korea,,Greenhouse test on Williams soybean: Highly Effective. Plant growth was very good to excellent.
USDA50,Glycine max,soybean,"K. Aso, 1931",Japan,Bradyrhizobium japonicum,
USDA5,Glycine max,soybean,USDA original,"Indiana, 1935",Bradyrhizobium japonicum,
USDA499,Glycine max,soybean,Niftal,"Korea, reisolated from recovered nodules",,Greenhouse test on Williams soybean: Plant growth was very good to excellent.
USDA498,Glycine max,soybean,Niftal,Korea,,Greenhouse test on Williams soybean: Plant growth was very good to excellent.
USDA497,Glycine max,soybean,Niftal,Korea,,Greenhouse test on Williams soybean: Highly Effective. Plant growth was very good to excellent.
USDA496,Glycine max,soybean,Niftal,Korea,,Greenhouse test on Williams soybean: Plant growth was very good to excellent.
USDA495,Glycine max,soybean,Niftal,Korea,,Greenhouse test on Williams soybean: Plant growth was very good to excellent.
USDA494,Glycine max,soybean,Niftal,"Korea, reisolated from recovered nodules",,Greenhouse test on Williams soybean: Plant growth was very good to excellent.
USDA493,Glycine max,soybean,Niftal,"Korea, reisolated from recovered nodules",,Greenhouse test on Williams soybean: Plant growth was very good to excellent.
USDA492,Glycine max,soybean,Niftal,"Korea, reisolated from recovered nodules",,Greenhouse test on Williams soybean: Plant growth was very good to excellent.
USDA491,Glycine max,soybean,Niftal,Korea,,
USDA490,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4899,Hedysarum carnosum,,,,,
USDA4898,Hedysarum coronarium,,,,,
USDA4897,Hedysarum boreale,,,,,
USDA4896,Hedysarum flexosum,,,,,
USDA4895,Hedysarum mongolicum,,,,,
USDA4894,Sesbania laeta,,,,,Type Strain for Sinorhizobium terangae
USDA4893,Sesbania cannabina,,,,,Type Strain for Sinorhizobium saheli
USDA4892,Sesbania rostrata,,,,,Type Strain for Azorhizobium caulinodans
USDA4891,Ononis arvensis,,,,,
USDA4890,Ononis arvensis,,,,,
USDA489,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4889,"Securigera varia, Coronilla varia",crown vetch,,,,
USDA4888,Glycyrrhiza pallidiflora,,,,,
USDA4887,Oxytropis campaneclata,,,,,
USDA4886,Lotus corniculatus,,,,,
USDA4885,Hedysarum alpinum,,,,,
USDA4884,Astragalus uliginosus,,,,,
USDA4883,Astragalus falcatus,,,,,
USDA4882,Astragalus cicer,,,,,
USDA4881,Acacia senegal,,Kristina Lindstrom,,,
USDA4880,Prosopis chilensis,,Kristina Lindstrom,,,
USDA488,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4879,Acacia senegal,,Kristina Lindstrom,,,
USDA4878,Prosopis chilensis,,Kristina Lindstrom,,,
USDA4877,Acacia senegal,,Kristina Lindstrom,,,
USDA4876,Acacia senegal,,Kristina Lindstrom,,,
USDA4875,Prosopis chilensis,,Kristina Lindstrom,,,
USDA4874,Acacia senegal,,Kristina Lindstrom,,,
USDA4873,Prosopis chilensis,,Kristina Lindstrom,,,
USDA4872,Prosopis chilensis,,Kristina Lindstrom,,,
USDA4871,Acacia senegal,,Kristina Lindstrom,,,
USDA4870,Acacia senegal,,Kristina Lindstrom,,,
USDA487,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4869,Acacia senegal,,Kristina Lindstrom,,,
USDA4868,Prosopis chilensis,,Kristina Lindstrom,,,
USDA4867,,,Kristina Lindstrom,,,
USDA4866,,,Kristina Lindstrom,,,
USDA4865,Galega orientalis,,Kristina Lindstrom,,,
USDA4864,,,Kristina Lindstrom,,,
USDA4863,,,Kristina Lindstrom,,,
USDA4862,,,Kristina Lindstrom,,,
USDA4861,,,Kristina Lindstrom,,,
USDA4860,,,Kristina Lindstrom,,,
USDA486,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4859,,,Kristina Lindstrom,,,
USDA4858,,,Kristina Lindstrom,,,
USDA4857,,,Kristina Lindstrom,,,
USDA4856,Galega officinalis,,Kristina Lindstrom,,,
USDA4855,Galega officinalis,,Kristina Lindstrom,,,
USDA4854,Galega officinalis,,Kristina Lindstrom,,,
USDA4853,Galega orientalis,,Kristina Lindstrom,,,
USDA4852,Galega orientalis,,Kristina Lindstrom,,,
USDA4850,Galega orientalis,,Kristina Lindstrom,,,
USDA485,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4849,Galega officinalis,,Kristina Lindstrom,,,
USDA4848,Galega officinalis,,Kristina Lindstrom,,,
USDA4847,Galega officinalis,,Kristina Lindstrom,,,
USDA4846,Galega officinalis,,Kristina Lindstrom,,,
USDA4845,Galega officinalis,,Kristina Lindstrom,,,
USDA4843,Galega orientalis,,Kristina Lindstrom,,,
USDA4842,Galega officinalis,,Kristina Lindstrom,,,
USDA4841,Galega officinalis,,Kristina Lindstrom,,,
USDA4840,Sesbania rostrata,,NifTAL,,,
USDA484,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4839,Sesbania rostrata,,NifTAL,,,
USDA4838,Leucaena leucocephala,,NifTAL,,,
USDA4837,Leucaena leucocephala,,,,,
USDA4836,Leucaena leucocephala,,,,,
USDA4835,Leucaena leucocephala,,,,,
USDA4834,Leucaena leucocephala,,,,,
USDA4833,Leucaena leucocephala,,,,,
USDA4832,Leucaena leucocephala,,,,,
USDA4831,Leucaena leucocephala,,,,,
USDA4830,Leucaena leucocephala,,,,,
USDA483,Glycine max,soybean,,,,USDA Original
USDA4829,Phaseolus vulgaris,,Dale Noel,,,streptomycin resistant derivative of CFN 42
USDA4828,Apios americana,,,,,
USDA4827,Apios americana,,,,,
USDA4826,Apios americana,,,,,
USDA4825,Apios americana,,,,,
USDA4824,Apios americana,,,,,
USDA4823,Apios americana,,,,,
USDA4822,Apios americana,,,,,
USDA4821,Apios americana,,,,,
USDA4820,Apios americana,,,,,
USDA482,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4819,Apios americana,,,,,
USDA4818,Apios americana,,,,,
USDA4817,Apios americana,,,,,
USDA4816,Apios americana,,,,,
USDA4815,Apios americana,,,,,
USDA4814,Apios americana,,,,,
USDA4813,Apios americana,,,,,
USDA4812,Apios americana,,,,,
USDA4811,Apios americana,,,,,
USDA4810,Apios americana,,,,,
USDA481,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4809,Apios americana,,,,,
USDA4808,Apios americana,,,,,
USDA4807,Apios americana,,,,,
USDA4806,Apios americana,,,,,
USDA4805,Apios americana,,,,,
USDA4804,Apios americana,,,,,
USDA4803,Apios americana,,,,,
USDA4802,Apios americana,,,,,
USDA4801,Apios americana,,,,,
USDA4800,Apios americana,,,,,
USDA480,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA48,Glycine max,soybean,USDA original,"Virginia, 1929",Bradyrhizobium japonicum,
USDA4799,Cicer arietinum,,,,,
USDA4798,Cicer arietinum,,,,,
USDA4797,Cicer arietinum,,,,,
USDA4796,Cicer arietinum,,,,,
USDA4795,Cicer arietinum,,,,,
USDA4794,Cicer arietinum,,,,,
USDA4793,Cicer arietinum,,,,,
USDA4792,Cicer arietinum,,,,,
USDA4791,Lablab purpureus,,,,,
USDA4790,Lablab purpureus,,,,,
USDA479,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4789,Lablab purpureus,,,,,
USDA4788,Lablab purpureus,,,,,
USDA4787,Lablab purpureus,,,,,
USDA4786,Lablab purpureus,,,,,
USDA4785,Lablab purpureus,,,,,
USDA4784,Lablab purpureus,,,,,
USDA4783,Lablab purpureus,,,,,
USDA4782,Lablab purpureus,,,,,
USDA4781,Lablab purpureus,,,,,
USDA4780,Lablab purpureus,,,,,
USDA478,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4779,Astragalus sinicus,,,,Mesorhizobium huakuii,Type strain for Mesorhizobium huakuii
USDA4778,Astragalus sinicus,,,,,
USDA4777,Astragalus sinicus,,,,,
USDA4776,Astragalus sinicus,,,,,
USDA4775,Astragalus sinicus,,,,Mesorhizobium loti,
USDA4774,Astragalus sinicus,,,,,
USDA4773,Astragalus sinicus,,,,,
USDA4772,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4771,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4770,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA477,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4769,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4768,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4767,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4766,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4765,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4764,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4763,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4762,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4761,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4760,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA476,Glycine max,soybean,,,Bradyrhizobium japonicum,USDA Original
USDA4759,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4758,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4757,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4756,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4755,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4754,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4753,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4752,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4751,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA4750,Vigna unguiculata,,Boyce Thompson Institute,"Nigeria, Africa",Bradyrhizobium sp.,
USDA475,Glycine max,soybean,Peter van Berkum 9/03/91,unknown,,
