.
Glycine max
Amorpha fruticosa
Oxytropis arctobia
Lotus ornithopodioides
Lotus rectus
Lotus palustris
Crotalaria senegalensis
Crotalaria pallida
Crotalaria lanceolata
Crotalaria incana
Crotalaria alata
Crotalaria spectabilis
Crotalaria refusa
Crotalaria juncea
Crotalaria sagittalis
Baptisia alba
Baptisia australis var. minor
Baptisia tinctoria
Chamaecrista mimosoides
Chamaecrista nictitans
Acacia linifolia
Pisum sativum
Vicea faba
Lens culinaris
Vicia faba
Lathyrus sativa
Vicia americana
Vicia sp.
Vicia villosa subsp. varia
Vicia villosa var. Madison
Lathyrus latifolius
Lathyrus japonicus
Vicia spp.
Vicia tetrasperma
Vicia narbonesis
Vicia lutea
Lathyrus hirsutus
Lathyrus tuberosus
Lathyrus cicera
Vicia tenuifolia
Lathyrus ochroleucus
Lathyrus polymorphus
Lathyrus sphaericus
Vicia ervilia
Vicia grandiflora
Vicia monantha
Vicia sativa sub. nigra
Vicia sativa
Trifolium supinum
Trifolium philisticum
Trifolium usambarense
Trifolium pallidium
Trifolium nigrescens spp. petrisavii
Trifolium nigrescens spp.petrisavii
Trifolium spumosum
Trifolium diffusum Trifolium
Trifolium vernum
Trifolium vavilovii
Trifolium physodes
Trifolium pallidum
Trifolium repens var. biasdetti
Trifolium mutabile
Trifolium meduseum
Trifolium globosum
Trifolium boissieri
Trifolium berytheum
Trifolium affine
Trifolium sp.
Trifolium sub clover
Woogenellup sub clover
Trifolium rubens
Trifolium respuinatum
Trifolium resupinatum
Trifolium purpureum
Trifolium pratense
Trifolium
Trifolium michelianum
Trifolium incarnatum
Trifolium hybridum
Trifolium hirtum
Ttifolium heldreichianum
Trifolium dasyphyllum
Trifolium burchellianum
Trifolium alexandrinum
Trifolium campestre
Trifolium tembense
Trifolium reflexum
Trifolium repens var. biasdettii
Trifolium heldreichianum
Trifolium frageriferum
Trifolium dubium
Trifolium subterraneaan
Trifolium glomeratum
Trifolium alexandrinium
Trifolium aureum
Trifolium hybridium
Trifolium ochroleucum
Trifolium spadiceum
Trifolium rusbyi var reflexum
Trifolium kingii var. productum
